"Name","Value"
"210","12120"
"gt-1030","24990"
"gt-710","11840"
"gt-730","19780"
"gtx-1050","54730"
"gtx-1050-ti","58990"
"gtx-1060","174701"
"gtx-1650","67380"
"gtx-1650-super","133789"
"gtx-1660","139900"
"gtx-1660-super","149990"
"gtx-1660-ti","118140"
"p1000","115912"
"p2000","168010"
"p2200","164440"
"p4000","274900"
"p620","64642"
"r7-240","27420"
"rtx-2060",
"rtx-2070-super",
"rtx-2080-super",
"rtx-2080-ti","399990"
"rtx-3060-ti","355990"
"rtx-3070","309990"
"rtx-3080","529990"
"rtx-3090","643306"
"rtx-4000","337000"
"rtx-5000","774720"
"rtx-6000","1746990"
"rtx-8000","2078080"
"rx-550","29620"
"rx-5500-xt","109440"
"rx-5600-xt","172500"
"rx-570","126760"
"rx-580","128790"
"rx-6800","389900"
"wx-2100","52790"
"wx-3100","67490"
"wx-3200","71610"
"wx-4100","103990"
"wx-5100","146490"
"wx-7100","283986"
"wx-8200","403680"
